WAVE,Nylon_raw,PET_raw,Styro_raw
574,0.11726690637763336,-0.538478854139161,-0.8453080699774924
575,0.17912029020881332,-0.5489535111166771,-0.7717448835662422
576,0.23250409730916874,-0.5653222310797172,-0.6833349108214466
577,0.27218731689733294,-0.5872416120153734,-0.6060935440954829
578,0.29203070061335434,-0.6136123201401632,-0.5662756519629143
579,0.2945912158824224,-0.641527612866483,-0.571189176496314
580,0.2829793198444068,-0.6674275081283091,-0.6214399669180907
581,0.25684289397058835,-0.689203427640891,-0.6934681876152765
582,0.21598155178342787,-0.703706310850941,-0.7644154158688456
583,0.17569706736838853,-0.7231645224451189,-0.8124212174079178
584,0.14459871098075897,-0.7524082204954097,-0.8295626913495623
585,0.1260012891519801,-0.7906685797583737,-0.8261034340285304
586,0.12519340512967794,-0.8379328408967027,-0.8109293131710934
587,0.11182099681404853,-0.8839830946188604,-0.7998903801314329
588,0.083728440638761,-0.9248078530720567,-0.7897285930744274
589,0.0423979306783254,-0.9567237620047876,-0.7704760252541655
590,-0.009464566870478384,-0.9771939222326045,-0.7381432216484022
591,-0.0597548213941892,-0.9865550093984424,-0.7023286533084764
592,-0.10365438590585331,-0.9860020608158938,-0.6783227517064444
593,-0.13674890401347037,-0.9769655622298209,-0.6830115270036425
594,-0.15400164261125554,-0.9656556979956825,-0.7134377126045645
595,-0.14764792208248032,-0.9680951637043662,-0.7425739922794851
596,-0.12134546064504334,-0.9748640639061195,-0.7600722731732042
597,-0.07821815387392884,-0.9791170281385726,-0.7530975939655574
598,-0.03173867818789841,-0.9662980778258891,-0.7394055940784616
599,0.003699205221780535,-0.9237134556832595,-0.7414965351721067
600,0.023874269461412353,-0.8530273303306986,-0.7614217589303461
601,0.02327156253889384,-0.7565174317668951,-0.8033096579722242
602,0.009727566616790225,-0.64010617468289,-0.8536281448638275
603,-0.009906159814971423,-0.5078848605893507,-0.8986817809803328
604,-0.028468332711772414,-0.36247781951030056,-0.9229369019983058
605,-0.039180851268949345,-0.20761974563957655,-0.9119339693825896
606,-0.024033431392313443,-0.0555669470378231,-0.8748376148299143
607,0.01444891531610462,0.08833621552159376,-0.8056618807601472
608,0.06990146284710877,0.2185350740699822,-0.6989657203057257
609,0.1341263558822704,0.33351639456581494,-0.5527697839662088
610,0.17835855250289673,0.45064569450636455,-0.36922323855512884
611,0.20257521661668945,0.5801893144480842,-0.15389123656554946
612,0.20568490470828535,0.7321322202197944,0.08452299931896294
613,0.19185525246912563,0.9081917895132641,0.35523602277690935
614,0.1709365835742398,1.1012360663240082,0.6855820708006511
615,0.1443868054297768,1.311243581670959,1.0277527161440687
616,0.11389243803070079,1.5364100405999135,1.338611379029885
617,0.08867005063346803,1.770512606145302,1.5793466128666642
618,0.07734546936577083,2.011269990090587,1.7260614505720129
619,0.0834760058647875,2.2652904335049793,1.7762481298969501
620,0.11199504770987091,2.5361225514905814,1.7303949180325298
621,0.13693637229306568,2.8496638711814706,1.5963490913675749
622,0.14987066893306256,3.2019586772261763,1.391885085516062
623,0.14887859153870292,3.5752686042045747,1.14140779458879
624,0.13115940062469889,3.952850949643294,0.8719549440593145
625,0.11958779748961336,4.341418209871376,0.6140709299205542
626,0.11671486700131449,4.716864983523693,0.397976115419414
627,0.12488116644199974,5.056593508568656,0.2565374205186717
628,0.14605177488222446,5.343634664516397,0.19941647726331124
629,0.18123089348564853,5.570219416269257,0.17777277908705932
630,0.22644354651221482,5.720887578382385,0.17435877533810668
631,0.27825192175332747,5.784636507690993,0.16845532310249275
632,0.32720073166447955,5.766026591821755,0.14951779087907288
633,0.3624339596354341,5.682290132668483,0.11905701406503623
634,0.38035629351770467,5.553530238978158,0.08396653510903962
635,0.37668244840077386,5.405552378432582,0.04827856924065237
636,0.3575454100781879,5.23651866452949,0.041784934894039436
637,0.33184198994927827,5.0508482565223485,0.07029363175486056
638,0.3088181151380766,4.861830030744087,0.12214957316361029
639,0.29771724855848347,4.685487620170348,0.18709182779935565
640,0.30483568369115377,4.503346022875888,0.23997392851056465
641,0.32971925416182213,4.321705467594141,0.27981407860625057
642,0.3710741066445521,4.148830769020802,0.3078886548023275
643,0.4266704840399819,3.989387610240245,0.3249818114053125
644,0.4896868809163809,3.833946545986116,0.33187624823797307
645,0.551253264476355,3.688574935722834,0.322007982948297
646,0.6025780984256959,3.557308945046756,0.2886070663757665
647,0.6381454088682373,3.4484288524605295,0.2335173158749151
648,0.65647674402175,3.369875302810732,0.17295763886384624
649,0.655902368612365,3.316416657406007,0.12858409215114658
650,0.6352146555693664,3.2823777963460263,0.1224025792825865
651,0.5963526268206629,3.258894710844043,0.1584896106836981
652,0.546674139836662,3.238107412751377,0.22270521130184032
653,0.4960559498928208,3.2130624909402417,0.2953013939735507
654,0.45475806597550866,3.1759665865729,0.3563052301482007
655,0.4326170103875471,3.1312661932115713,0.40760728384720935
656,0.42511406916753863,3.0757527746909625,0.44661950518610993
657,0.42705824385876545,3.005391010514079,0.47105594093348335
